,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
0,5954953,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,CA,60816062002014,43,1,987.0,35.0,1
1,22859880,57164,21235379,Blu Sky Wireless,Blu Sky Wireless,Blu Sky Wireless,260004,Blu Sky Wireless,OH,391354550025013,70,1,25.0,5.0,1
2,68924581,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,484119502001559,60,1,25.0,3.0,1
3,53911095,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MD,240299505001059,60,1,25.0,3.0,1
4,64392495,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",OR,410019506001033,60,1,2.0,1.3,1
5,61454179,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NC,371539702002176,60,1,25.0,3.0,1
6,14270233,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",NC,370010208012010,60,1,100.0,3.0,1
7,71157812,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",VA,517100009021299,60,1,2.0,1.3,1
8,66576717,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",SD,460359626001078,60,1,2.0,1.3,1
9,26495162,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,WY,560250006003031,43,1,940.0,35.0,1
10,29923340,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",IA,191919503002042,11,1,6.0,0.5,1
11,67129655,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,470179622011093,60,1,2.0,1.3,1
12,2009729,54592,4325205,Monmouth Telephone & Telegraph,Monmouth Telephone & Telegraph,Monmouth Internet Corporation,170067,Monmouth Internet Corporation,NJ,340258065041010,30,0,0.0,0.0,1
13,9888626,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",CO,80050826002006,60,1,100.0,3.0,1
14,53550939,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,ME,230179666001105,60,0,0.0,0.0,1
15,2586455,54836,3716073,"McLeodUSA Telecommunications Services, L.L.C.",PAETEC Business Services,"Windstream Holdings, Inc.",131413,"Windstream Holdings, Inc.",NM,350250001003008,11,0,0.0,0.0,1
16,2109742,54601,7556152,Brandenburg Telecom LLC,Brandenburg Telecom LLC,Brandenburg Communications Corp.,130150,Brandenburg Communications Corp.,KY,210930017004017,11,1,20.0,1.0,1
17,1644983,54532,4966099,"Windstream Nebraska, Inc.",Windstream Nebraska Inc.,"Windstream Holdings, Inc.",131413,"Windstream Holdings, Inc.",NE,311439600002045,12,1,50.0,1.5,0
18,64866728,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,PA,420912032071015,60,0,0.0,0.0,1
19,45967095,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",CO,81230014042025,60,1,25.0,3.0,1
20,13102866,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MI,260490031002045,60,1,100.0,3.0,1
21,32313358,59351,3576352,Frontier Communications Corporation,Commonwealth of Pennsylvania,Frontier Communications Corporation,130258,Frontier Communications Corporation,PA,420370515002089,10,1,6.0,1.0,1
22,42105455,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",AL,10690419005064,60,1,2.0,1.3,1
23,9179712,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",CA,60014501011000,60,1,100.0,3.0,1
24,7989426,55823,11548526,PenTeleData Limited Partnership I,PenTeleData Limited Partnership I,"Pencor Services, Inc.",131026,"Pencor Services, Inc.",PA,420710118045003,43,0,0.0,0.0,1
25,39143022,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60372077101046,10,1,6.0,0.512,0
26,62278839,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,OH,390490011221012,60,0,0.0,0.0,1
27,14174643,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MT,300310001022159,60,1,100.0,3.0,1
28,56926371,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MO,291833111512019,60,0,0.0,0.0,1
29,41077349,67058,3801651,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AT&T Inc.,130077,AT&T Inc.,TX,484736806001048,11,1,25.0,2.0,0
30,29324333,58862,8245839,"WaveDivision Holdings, LLC",Wave,"WaveDivision Holdings, LLC",130079,"Radiate Holdings, LP",OR,410050243021005,42,1,100.0,5.0,1
31,29434512,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",AL,11030052004044,10,1,1.5,0.512,1
32,60050094,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NY,360419505001305,60,0,0.0,0.0,1
33,69535756,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TX,482059502004190,60,1,2.0,1.3,1
34,53171242,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",LA,220250001004214,60,1,25.0,3.0,1
35,36759048,67053,2904654,Indiana Bell Telephone Company,AT&T Indiana,AT&T Inc.,130077,AT&T Inc.,IN,180973223001003,11,1,18.0,0.768,0
36,54741908,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MI,261251203001031,60,0,0.0,0.0,1
37,61069380,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NC,370710312022023,60,0,0.0,0.0,1
38,59142609,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NJ,340010002001013,60,1,25.0,3.0,1
39,32715755,59351,3576352,Frontier Communications Corporation,Frontier Communication of Minnesota,Frontier Communications Corporation,130258,Frontier Communications Corporation,MN,271019002001100,11,1,18.0,1.0,1
40,23460334,57383,13778857,"Liberty Cablevision of Puerto Rico, LLC",Liberty,Liberty Latin America,130741,Liberty Latin America,PR,721339538004008,42,1,400.0,30.0,1
41,29971739,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",MN,270090211022047,10,1,6.0,0.5,1
42,64200064,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",OR,410019503003161,60,1,25.0,3.0,1
43,27479022,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,MO,291892168001005,43,1,940.0,35.0,1
44,69751359,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TX,483671404071050,60,1,2.0,1.3,1
45,45210635,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",CA,60552018001012,60,1,2.0,1.3,1
46,30517147,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",SC,450130011021082,12,1,3.0,0.512,1
47,51557111,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",IA,191573703003011,60,1,25.0,3.0,1
48,56686584,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MO,290030102002015,60,0,0.0,0.0,1
49,64113128,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,OR,410390025011013,60,0,0.0,0.0,1
50,70877097,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",VA,515500214022010,60,1,25.0,3.0,1
51,71828881,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,WV,540739622003070,60,0,0.0,0.0,1
52,29660179,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",CO,80410046032092,12,1,100.0,10.0,1
53,66631022,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",SD,461150003002036,60,1,2.0,1.3,1
54,12679563,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MA,250056101003012,60,1,100.0,3.0,1
55,8648998,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",AL,10950303002015,60,1,35.0,3.0,1
56,27868188,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,MN,270471806002053,43,1,940.0,35.0,1
57,18184198,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",TX,483719501001699,60,1,35.0,3.0,1
58,39712357,67058,3801651,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AT&T Inc.,130077,AT&T Inc.,AR,51190037112009,10,1,6.0,0.512,0
59,59940603,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",NM,350490106031081,60,1,2.0,1.3,1
60,14146187,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MT,300050002002048,60,1,35.0,3.0,1
61,19736273,56217,3723780,"TEC of Jackson, Inc","TEC of Jackson, Inc.",Telephone Electronics Corporation,131311,Telephone Electronics Corporation,LA,220790139003026,10,1,24.0,2.0,1
62,67307780,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,471570226001129,60,1,2.0,1.3,1
63,33659761,59351,3576352,Frontier Communications Corporation,Frontier West Virginia,Frontier Communications Corporation,130258,Frontier Communications Corporation,WV,540679501001281,11,1,18.0,1.0,1
64,70665928,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",VA,510010904002187,60,1,25.0,3.0,1
65,63432909,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,OK,401214862002011,60,0,0.0,0.0,1
66,30063327,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",MS,280330708301012,12,1,20.0,1.5,1
67,36429499,67052,2860856,Illinois Bell Telephone Company,AT&T Illinois,AT&T Inc.,130077,AT&T Inc.,IL,171635043522013,11,1,18.0,0.768,0
68,32317990,59351,3576352,Frontier Communications Corporation,Commonwealth of Pennsylvania,Frontier Communications Corporation,130258,Frontier Communications Corporation,PA,420792155032039,10,1,6.0,1.0,1
69,4476695,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",WI,551050026022141,70,1,2.0,0.064,0
70,39351098,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60650314024007,12,1,100.0,20.0,0
71,55008628,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MI,260992521001005,60,1,25.0,3.0,1
72,28179184,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,CA,60650412032005,43,1,940.0,35.0,1
73,36349663,67052,2860856,Illinois Bell Telephone Company,AT&T Illinois,AT&T Inc.,130077,AT&T Inc.,IL,170519509002043,10,1,6.0,0.512,0
74,60892518,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",NY,360999510002026,60,1,2.0,1.3,1
75,39522245,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60770032162011,10,1,3.0,0.384,0
76,6477390,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,IL,171150026012033,43,1,987.0,35.0,1
77,12847143,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MD,240098603002074,60,1,100.0,3.0,1
