,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
0,2644844,54875,1786706,Kentucky RSA #3 Cellular General Partnership,Bluegrass Cellular Inc,Brandenburg Cellular Corporation,130146,Brandenburg Cellular Corporation,KY,212139703004003,70,1,12.0,5.0,1
1,20929408,56631,6221287,"Harbor Communications, LLC",Harbor Communications,Harbor Communications,130587,Harbor Communications,LA,220510205151012,70,1,20.0,20.0,1
2,53250210,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",LA,220730105022032,60,1,25.0,3.0,1
3,23447017,57383,13778857,"Liberty Cablevision of Puerto Rico, LLC",Liberty,Liberty Latin America,130741,Liberty Latin America,PR,720572702013075,42,1,400.0,30.0,1
4,26732513,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,TX,484391006022048,43,1,940.0,35.0,1
5,45659864,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,CO,80410038021149,60,0,0.0,0.0,1
6,34191761,59351,3576352,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,130258,Frontier Communications Corporation,FL,121150027121277,10,1,6.0,1.0,1
7,32188141,59351,3576352,Frontier Communications Corporation,CTC Tuolomne California,Frontier Communications Corporation,130258,Frontier Communications Corporation,CA,61090032006026,11,1,18.0,1.0,1
8,57185276,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MO,291219605004105,60,1,25.0,3.0,1
9,51123924,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",IN,181379684003048,60,1,2.0,1.3,1
10,13874689,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MO,291818702002020,60,1,35.0,3.0,1
11,12736030,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",MA,250173212001021,60,1,100.0,3.0,1
12,31591120,59149,3806668,"Telepak Networks, Inc.",Telepak Networks Inc,"Telapex, Inc.",131302,"Telapex, Inc.",MS,280679501002063,50,0,0.0,0.0,1
13,35136645,59538,3474327,"Cable One, Inc.",Cable ONE,"Cable One, Inc.",130183,"Cable One, Inc.",ID,160319504002067,42,1,1000.0,50.0,1
14,45447917,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",CA,60816063002018,60,1,2.0,1.3,1
15,30217919,58876,18626853,"CenturyLink, Inc.",CenturyLink,"CenturyLink, Inc.",130228,"CenturyLink, Inc.",NJ,340373732001037,12,1,10.0,1.0,1
16,36926438,67054,2776771,Michigan Bell Telephone Company,AT&T Michigan,AT&T Inc.,130077,AT&T Inc.,MI,260770034003002,10,1,3.0,0.384,0
17,35318813,59852,1834696,Cox Communications,Cox Communications,"Cox Communications, Inc.",130360,"Cox Communications, Inc.",AZ,40130930011020,43,1,1000.0,35.0,1
18,56923923,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MO,291833105013000,60,0,0.0,0.0,1
19,67283919,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,471490420003002,60,1,2.0,1.3,1
20,50451728,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,IN,180350023011069,60,0,0.0,0.0,1
21,45976834,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",CO,81259632002030,60,1,25.0,3.0,1
22,57062190,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MO,290398701004065,60,1,25.0,3.0,1
23,39568860,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60855026013000,10,1,3.0,0.384,0
24,53573416,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,ME,230310245004016,60,0,0.0,0.0,1
25,51681354,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",IA,190799601001300,60,1,2.0,1.3,1
26,68946646,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,484299505003280,60,1,25.0,3.0,1
27,47085224,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",FL,120710004011012,60,1,25.0,3.0,1
28,66194648,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",SC,450830224031025,60,1,25.0,3.0,1
29,9552892,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",CA,60650432471054,60,1,100.0,3.0,1
30,31393828,59117,3273505,Verizon Pennsylvania LLC,Verizon Pennsylvania LLC,Verizon Communications Inc.,131425,Verizon Communications Inc.,PA,420770006001046,50,1,940.0,880.0,1
31,62812396,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",OH,391419567001018,60,1,25.0,3.0,1
32,48446588,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",GA,130970805062000,60,1,2.0,1.3,1
33,52560637,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,KY,210919601001017,60,0,0.0,0.0,1
34,20798962,56609,23885049,Interlakes Wireless,Interlakes Wireless,Interlakes Wireless LLC,300194,Interlakes Wireless LLC,SD,460799603001003,70,1,75.0,25.0,1
35,43105235,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,AR,51059527001089,60,0,0.0,0.0,1
36,58309517,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NE,310839642001726,60,1,25.0,3.0,1
37,59477129,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NM,350050002012009,60,0,0.0,0.0,1
38,40489637,67058,3801651,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AT&T Inc.,130077,AT&T Inc.,TX,481130021002013,11,1,18.0,0.768,0
39,8010499,55823,11548526,PenTeleData Limited Partnership I,PenTeleData Limited Partnership I,"Pencor Services, Inc.",131026,"Pencor Services, Inc.",PA,420893003012080,43,0,0.0,0.0,1
40,55562752,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MN,270614810001228,60,0,0.0,0.0,1
41,38934476,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Tennessee,AT&T Inc.,130077,AT&T Inc.,TN,471570206211009,50,1,1000.0,1000.0,0
42,34011232,59351,3576352,Frontier Communications Corporation,Frontier Communications Corporation,Frontier Communications Corporation,130258,Frontier Communications Corporation,CA,60650427302021,11,1,18.0,1.0,1
43,15294900,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",NV,320030057152023,60,1,100.0,3.0,1
44,37301126,67056,1857952,"BellSouth Telecommunications, Inc.",AT&T Alabama,AT&T Inc.,130077,AT&T Inc.,AL,10150005001068,10,1,6.0,0.512,0
45,61687021,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",NC,371190057122006,60,1,2.0,1.3,1
46,11880677,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",IN,180670002001002,60,1,35.0,3.0,1
47,34753303,59520,21890777,"Skybeam, Inc.",Rise Broadband,"JAB Wireless, Inc.",140048,"JAB Wireless, Inc.",IA,190150205003060,70,1,25.0,4.0,1
48,60335563,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NY,360150110001050,60,1,25.0,3.0,1
49,19492775,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",WY,560330005001176,60,1,35.0,3.0,1
50,61324898,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NC,370610906003032,60,1,25.0,3.0,1
51,7228954,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,PA,420912019013033,43,1,987.0,35.0,1
52,32770131,59351,3576352,Frontier Communications Corporation,Frontier Communication of the Carolinas North Carolina  Contel,Frontier Communications Corporation,130258,Frontier Communications Corporation,NC,371119702001040,10,1,6.0,1.0,1
53,62894263,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",OH,390030132002013,60,1,2.0,1.3,1
54,53773596,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,MD,240299502002149,60,0,0.0,0.0,1
55,26536967,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,TX,480270225014004,43,1,940.0,35.0,1
56,48252916,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",GA,131739501002093,60,1,25.0,3.0,1
57,70182649,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",UT,490490104062102,60,1,25.0,3.0,1
58,69031947,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,484659505004011,60,1,25.0,3.0,1
59,43429793,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",AR,50799606002096,60,1,2.0,1.3,1
60,44138563,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,CA,60971503052003,60,0,0.0,0.0,1
61,53043950,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,LA,220710006053007,60,0,0.0,0.0,1
62,7355696,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,TN,471870502061012,43,0,0.0,0.0,1
